,시군구,읍면동/구,lat,long,total_score
144,상주시,남원동,36.4154898,128.1525784,778288.8898267831
145,상주시,화남면,36.448318,127.905575,298688.8196711017
146,상주시,이안면,36.579433,128.1455,466286.86052414
147,상주시,공검면,36.51215,128.158638,691445.8788550821
148,상주시,은척면,36.531725,128.071513,471749.63513070677
149,상주시,외서면,36.479326,128.108138,682311.7695525247
150,상주시,화북면,36.5632573,127.9172092,230743.4376236506
151,상주시,화서면,36.4454358,127.951397,378569.58996930183
152,상주시,화동면,36.389532,127.954175,482165.74184463936
153,상주시,모서면,36.342465,127.96005,538852.9251844495
154,상주시,모동면,36.3201456,127.9594085,553598.7091948336
155,상주시,내서면,36.412276,128.0674987,708490.7172604009
156,상주시,외남면,36.3574404,128.0894125,796426.9776915036
157,상주시,공성면,36.283428,128.0924754,816815.2531995492
158,상주시,청리면,36.338624,128.130563,827322.290466756
159,상주시,낙동면,36.374982,128.248125,913329.8695946627
160,상주시,중동면,36.4263263,128.2715375,932609.9945370781
161,상주시,함창읍,36.570192,128.179438,600901.2140765514
162,영천시,남부동,35.9415,128.9351674,1574273.9223345628
163,영천시,완산동,35.964876,128.939562,1580437.8812200099
164,영천시,서부동,35.9637331,128.9211565,1586879.2376812547
165,영천시,중앙동,35.9732638,128.9298753,1578738.1801404273
166,영천시,동부동,35.974518,128.942575,1584349.2911458495
167,영천시,대창면,35.8760649,128.8946401,1426523.930058694
168,영천시,북안면,35.9153323,129.0091366,1539425.0719374241
169,영천시,고경면,36.001592,129.04585,1538246.0889045857
170,영천시,임고면,36.021092,128.973938,1552088.8274477727
171,영천시,자양면,36.0784287,129.0183414,1514264.5163129447
172,영천시,화남면,36.0590922,128.8890467,1629613.5693796803
173,영천시,화북면,36.1082892,128.9193771,1603717.6059353263
174,영천시,화산면,36.020417,128.852338,1542310.0244145507
175,영천시,신녕면,36.0453276,128.7897786,1671949.4053784863
176,영천시,청통면,35.9921437,128.822977,1555351.400896646
177,영천시,금호읍,35.9333442,128.8776223,1596715.9871934298
178,영주시,가흥2동,36.8293879,128.6116978,487130.2840400345
179,영주시,가흥1동,36.8159764,128.6035465,499757.4332855798
180,영주시,휴천3동,36.8177771,128.6258484,482108.7241905333
